1	1	2	5	1	68
1	2	1	4	1	60
1	2	2	4	1	62
1	3	1	5	1	71
1	4	1	4	1	54
1	5	2	6	1	81
1	6	2	6	1	81
1	6	2	6	1	89
1	7	2	6	1	73
1	8	2	4	1	55
1	9	2	6	1	65
1	9	2	5	1	67
1	9	1	5	1	74
1	9	1	6	1	81
1	10	2	6	1	78
1	11	1	6	1	100
1	12	1	4	1	59
1	12	2	6	1	83
1	12	2	6	1	82
3	13	1	5	1	76
3	13	1	4	1	77
3	14	1	4	1	66
3	15	1	5	1	76
3	16	2	5	1	83
2	17	1	4	1	76
2	17	2	4	1	75
3	18	2	4	1	61
3	18	2	4	1	62
3	18	2	4	1	64
3	18	2	4	1	65
3	18	1	4	1	65
1	19	1	5	1	79
1	20	1	5	1	68
1	21	2	5	1	62
1	21	2	5	1	71
1	21	1	6	1	77
1	22	1	5	1	53
1	22	1	5	1	68
1	23	2	5	1	72
1	23	2	7	1	93
1	24	1	4	1	53
1	24	2	4	1	57
1	24	1	5	1	66
1	24	2	5	1	68
1	24	1	5	1	70
1	24	1	6	1	84
1	24	1	6	1	78
1	24	2	7	1	92
1	24	2	6	1	94
3	25	2	5	1	73
3	26	2	4	1	85
2	27	1	5	1	80
1	28	1	6	1	80
1	29	1	4	1	40
1	30	1	5	1	67
1	31	1	4	1	49
1	31	2	4	1	61
1	32	1	6	1	79
1	33	1	6	1	87
1	34	2	6	1	66
1	35	1	5	1	68
1	36	2	5	1	60
1	37	2	3	1	47
1	38	2	4	1	43
1	39	2	4	1	40
1	39	2	4	1	54
1	39	2	5	1	61
1	40	1	6	1	75
1	41	2	6	1	84
1	42	1	5	1	68
1	43	1	5	1	60
1	43	1	5	1	71
1	44	2	6	1	92
2	45	2	5	1	71
2	46	1	5	1	67
2	46	1	4	1	72
2	47	1	5	1	72
2	47	1	5	1	73
3	48	1	3	1	36
3	49	1	4	1	68
3	50	1	4	1	76
3	51	2	4	1	61
3	52	1	4	1	68
3	53	1	3	1	51
3	53	2	4	1	58
3	54	2	4	1	59
3	55	1	4	1	62
3	55	2	4	1	67
2	56	1	5	1	71
1	57	1	5	1	67
3	58	1	3	1	59
3	58	1	4	1	64
