year type stratum sex age value 
2008 N 1 1 3 56.6132
2008 N 1 1 4 1747.73
2008 N 1 1 5 6052.31
2008 N 1 1 6 911.284
2008 N 1 1 7 96.4315
2008 Biomass 1 1 3 56.6132
2008 Biomass 1 1 4 1747.73
2008 Biomass 1 1 5 6052.31
2008 Biomass 1 1 6 911.284
2008 Biomass 1 1 7 96.4315
2008 N_Kimura   1 1 3 56.6132
2008 N_Kimura   1 1 4 1747.73
2008 N_Kimura   1 1 5 6052.31
2008 N_Kimura   1 1 6 911.284
2008 N_Kimura   1 1 7 96.4315
2008 avg_wt_age 1 1 3 1
2008 avg_wt_age 1 1 4 1
2008 avg_wt_age 1 1 5 1
2008 avg_wt_age 1 1 6 1
2008 avg_wt_age 1 1 7 1
2008 N 1 2 3 43.5272
2008 N 1 2 4 1329.59
2008 N 1 2 5 4492.51
2008 N 1 2 6 1020.25
2008 N 1 2 7 58.2406
2008 Biomass 1 2 3 43.5272
2008 Biomass 1 2 4 1329.59
2008 Biomass 1 2 5 4492.51
2008 Biomass 1 2 6 1020.25
2008 Biomass 1 2 7 58.2406
2008 N_Kimura   1 2 3 43.5272
2008 N_Kimura   1 2 4 1329.59
2008 N_Kimura   1 2 5 4492.51
2008 N_Kimura   1 2 6 1020.25
2008 N_Kimura   1 2 7 58.2406
2008 avg_wt_age 1 2 3 1
2008 avg_wt_age 1 2 4 1
2008 avg_wt_age 1 2 5 1
2008 avg_wt_age 1 2 6 1
2008 avg_wt_age 1 2 7 1
2008 p 1 1 3 0.00358119
2008 p 1 1 4 0.110556
2008 p 1 1 5 0.382852
2008 p 1 1 6 0.0576453
2008 p 1 1 7 0.00609998
2008 p 1 2 3 0.0027534
2008 p 1 2 4 0.0841063
2008 p 1 2 5 0.284183
2008 p 1 2 6 0.0645379
2008 p 1 2 7 0.00368414
2008 N 2 1 3 16.5851
2008 N 2 1 4 195.728
2008 N 2 1 5 243.663
2008 N 2 1 6 8.7713
2008 N 2 1 7 1.22815
2008 Biomass 2 1 3 16.5851
2008 Biomass 2 1 4 195.728
2008 Biomass 2 1 5 243.663
2008 Biomass 2 1 6 8.7713
2008 Biomass 2 1 7 1.22815
2008 N_Kimura   2 1 3 16.5851
2008 N_Kimura   2 1 4 195.728
2008 N_Kimura   2 1 5 243.663
2008 N_Kimura   2 1 6 8.7713
2008 N_Kimura   2 1 7 1.22815
2008 avg_wt_age 2 1 3 1
2008 avg_wt_age 2 1 4 1
2008 avg_wt_age 2 1 5 1
2008 avg_wt_age 2 1 6 1
2008 avg_wt_age 2 1 7 1
2008 N 2 2 3 7.14909
2008 N 2 2 4 146.135
2008 N 2 2 5 123.313
2008 N 2 2 6 2.98911
2008 N 2 2 7 0
2008 Biomass 2 2 3 7.14909
2008 Biomass 2 2 4 146.135
2008 Biomass 2 2 5 123.313
2008 Biomass 2 2 6 2.98911
2008 Biomass 2 2 7 0
2008 N_Kimura   2 2 3 7.14909
