year type stratum sex age value 
2017 N 1 1 3 229.91
2017 N 1 1 4 4738.98
2017 N 1 1 5 7259.66
2017 N 1 1 6 918.326
2017 N 1 1 7 88.5136
2017 Biomass 1 1 3 229.91
2017 Biomass 1 1 4 4738.98
2017 Biomass 1 1 5 7259.66
2017 Biomass 1 1 6 918.326
2017 Biomass 1 1 7 88.5136
2017 N_Kimura   1 1 3 229.91
2017 N_Kimura   1 1 4 4738.98
2017 N_Kimura   1 1 5 7259.66
2017 N_Kimura   1 1 6 918.326
2017 N_Kimura   1 1 7 88.5136
2017 avg_wt_age 1 1 3 1
2017 avg_wt_age 1 1 4 1
2017 avg_wt_age 1 1 5 1
2017 avg_wt_age 1 1 6 1
2017 avg_wt_age 1 1 7 1
2017 N 1 2 3 364.005
2017 N 1 2 4 3655.34
2017 N 1 2 5 4407.81
2017 N 1 2 6 992.472
2017 N 1 2 7 55.0469
2017 Biomass 1 2 3 364.005
2017 Biomass 1 2 4 3655.34
2017 Biomass 1 2 5 4407.81
2017 Biomass 1 2 6 992.472
2017 Biomass 1 2 7 55.0469
2017 N_Kimura   1 2 3 364.005
2017 N_Kimura   1 2 4 3655.34
2017 N_Kimura   1 2 5 4407.81
2017 N_Kimura   1 2 6 992.472
2017 N_Kimura   1 2 7 55.0469
2017 avg_wt_age 1 2 3 1
2017 avg_wt_age 1 2 4 1
2017 avg_wt_age 1 2 5 1
2017 avg_wt_age 1 2 6 1
2017 avg_wt_age 1 2 7 1
2017 p 1 1 3 0.0101237
2017 p 1 1 4 0.208673
2017 p 1 1 5 0.319667
2017 p 1 1 6 0.040437
2017 p 1 1 7 0.00389755
2017 p 1 2 3 0.0160284
2017 p 1 2 4 0.160957
2017 p 1 2 5 0.194091
2017 p 1 2 6 0.0437019
2017 p 1 2 7 0.0024239
2017 N 2 1 3 59.2616
2017 N 2 1 4 246.5
2017 N 2 1 5 82.9424
2017 N 2 1 6 0
2017 N 2 1 7 0
2017 Biomass 2 1 3 59.2616
2017 Biomass 2 1 4 246.5
2017 Biomass 2 1 5 82.9424
2017 Biomass 2 1 6 0
2017 Biomass 2 1 7 0
2017 N_Kimura   2 1 3 59.2616
2017 N_Kimura   2 1 4 246.5
2017 N_Kimura   2 1 5 82.9424
2017 N_Kimura   2 1 6 0
2017 N_Kimura   2 1 7 0
2017 avg_wt_age 2 1 3 1
2017 avg_wt_age 2 1 4 1
2017 avg_wt_age 2 1 5 1
2017 avg_wt_age 2 1 6 0
2017 avg_wt_age 2 1 7 0
2017 N 2 2 3 21.3974
2017 N 2 2 4 115.126
2017 N 2 2 5 24.2224
2017 N 2 2 6 4.4539
2017 N 2 2 7 0
2017 Biomass 2 2 3 21.3974
2017 Biomass 2 2 4 115.126
2017 Biomass 2 2 5 24.2224
2017 Biomass 2 2 6 4.4539
2017 Biomass 2 2 7 0
2017 N_Kimura   2 2 3 21.3974
2017 N_Kimura   2 2 4 115.126
2017 N_Kimura   2 2 5 24.2224
2017 N_Kimura   2 2 6 4.4539
2017 N_Kimura   2 2 7 0
2017 avg_wt_age 2 2 3 1
2017 avg_wt_age 2 2 4 1
2017 avg_wt_age 2 2 5 1
2017 avg_wt_age 2 2 6 1
2017 avg_wt_age 2 2 7 0
2017 p 2 1 3 0.106989
2017 p 2 1 4 0.445024
2017 p 2 1 5 0.149741
2017 p 2 1 6 0
2017 p 2 1 7 0
2017 p 2 2 3 0.0386302
2017 p 2 2 4 0.207844
2017 p 2 2 5 0.0437303
2017 p 2 2 6 0.00804094
2017 p 2 2 7 0
2017 N 3 1 3 1875.43
2017 N 3 1 4 2240.75
2017 N 3 1 5 91.5426
2017 N 3 1 6 7.77409
2017 N 3 1 7 1.94352
2017 Biomass 3 1 3 1875.43
2017 Biomass 3 1 4 2240.75
2017 Biomass 3 1 5 91.5426
2017 Biomass 3 1 6 7.77409
2017 Biomass 3 1 7 1.94352
2017 N_Kimura   3 1 3 1875.43
2017 N_Kimura   3 1 4 2240.75
2017 N_Kimura   3 1 5 91.5426
2017 N_Kimura   3 1 6 7.77409
2017 N_Kimura   3 1 7 1.94352
2017 avg_wt_age 3 1 3 1
2017 avg_wt_age 3 1 4 1
2017 avg_wt_age 3 1 5 1
2017 avg_wt_age 3 1 6 1
2017 avg_wt_age 3 1 7 1
2017 N 3 2 3 1201.86
2017 N 3 2 4 1316.83
2017 N 3 2 5 75.9128
2017 N 3 2 6 0
2017 N 3 2 7 0
2017 Biomass 3 2 3 1201.86
2017 Biomass 3 2 4 1316.83
2017 Biomass 3 2 5 75.9128
2017 Biomass 3 2 6 0
2017 Biomass 3 2 7 0
2017 N_Kimura   3 2 3 1201.86
2017 N_Kimura   3 2 4 1316.83
2017 N_Kimura   3 2 5 75.9128
2017 N_Kimura   3 2 6 0
2017 N_Kimura   3 2 7 0
2017 avg_wt_age 3 2 3 1
2017 avg_wt_age 3 2 4 1
2017 avg_wt_age 3 2 5 1
2017 avg_wt_age 3 2 6 0
2017 avg_wt_age 3 2 7 0
2017 p 3 1 3 0.275311
2017 p 3 1 4 0.32894
2017 p 3 1 5 0.0134383
2017 p 3 1 6 0.00114123
2017 p 3 1 7 0.000285307
2017 p 3 2 3 0.176432
2017 p 3 2 4 0.193309
2017 p 3 2 5 0.0111439
2017 p 3 2 6 0
2017 p 3 2 7 0
2017 N  1 99 3 593.915
2017 N  1 99 4 8394.31
2017 N  1 99 5 11667.5
2017 N  1 99 6 1910.8
2017 N  1 99 7 143.561
2017 a  1 99 3 1
2017 a  1 99 4 1
2017 a  1 99 5 1
2017 a  1 99 6 1
2017 a  1 99 7 1
2017 N  2 99 3 80.659
2017 N  2 99 4 361.626
2017 N  2 99 5 107.165
2017 N  2 99 6 4.4539
2017 N  2 99 7 0
2017 a  2 99 3 1
2017 a  2 99 4 1
2017 a  2 99 5 1
2017 a  2 99 6 1
2017 a  2 99 7 0
2017 N  3 99 3 3077.29
2017 N  3 99 4 3557.58
2017 N  3 99 5 167.455
2017 N  3 99 6 7.77409
2017 N  3 99 7 1.94352
2017 a  3 99 3 1
2017 a  3 99 4 1
2017 a  3 99 5 1
2017 a  3 99 6 1
2017 a  3 99 7 1
2017 N 99 1 3 2164.6
2017 N 99 1 4 7226.23
2017 N 99 1 5 7434.14
2017 N 99 1 6 926.101
2017 N 99 1 7 90.4571
2017 a 99 1 3 1
2017 a 99 1 4 1
2017 a 99 1 5 1
2017 a 99 1 6 1
2017 a 99 1 7 1
2017 N 99 2 3 1587.26
2017 N 99 2 4 5087.29
2017 N 99 2 5 4507.94
2017 N 99 2 6 996.926
2017 N 99 2 7 55.0469
2017 a 99 2 3 1
2017 a 99 2 4 1
2017 a 99 2 5 1
2017 a 99 2 6 1
2017 a 99 2 7 1
2017 N 99 99 3 3751.86
2017 N 99 99 4 12313.5
2017 N 99 99 5 11942.1
2017 N 99 99 6 1923.03
2017 N 99 99 7 145.504
2017 a 99 99 3 1
2017 a 99 99 4 1
2017 a 99 99 5 1
2017 a 99 99 6 1
2017 a 99 99 7 1
