1 1 1 43 8
1 1 2 32 1
1 1 1 53 3
1 1 1 51 2
1 1 2 47 9
1 1 2 58 1
1 1 1 47 5
1 1 2 54 1
1 1 2 50 2
3 1 2 49 7
3 1 1 53 2
3 1 1 54 1
3 1 2 54 1
3 1 2 56 3
3 1 1 53 7
3 1 1 61 2
3 1 1 48 6
2 1 1 60 1
3 1 2 57 4
3 1 2 45 8
3 1 2 50 4
3 1 1 53 5
3 1 2 52 3
3 1 2 43 5
3 1 1 31 2
3 1 2 27 1
3 1 2 47 3
3 1 1 64 1
3 1 1 54 7
3 1 2 47 7
3 1 2 41 1
3 1 1 53 4
1 1 2 43 2
1 1 2 31 1
1 1 1 48 14
1 1 2 53 1
3 1 1 53 5
1 1 2 50 5
1 1 1 52 4
3 1 2 44 1
3 1 1 26 1
3 1 1 49 4
1 1 2 43 14
1 1 2 49 10
1 1 1 48 9
1 1 2 47 7
1 1 1 47 3
1 1 1 46 6
1 1 1 48 1
1 1 2 42 10
3 1 1 44 1
3 1 2 52 9
3 1 2 49 4
3 1 2 47 8
3 1 2 49 8
3 1 1 50 4
3 1 1 48 1
3 1 2 60 1
1 1 2 40 2
1 1 2 49 7
1 1 2 48 8
1 1 1 49 5
3 1 1 48 2
3 1 2 51 4
3 1 1 47 2
3 1 2 53 5
1 1 2 41 2
1 1 1 37 1
3 1 2 62 1
3 1 1 60 3
3 1 1 60 2
3 1 2 48 9
3 1 1 46 2
3 1 2 29 1
3 1 1 59 2
2 4939 2 33 1
2 4939 1 41 3
2 4904 2 45 8
2 4877 2 40 1
2 5082 1 48 6
2 5084 1 25 1
3 4809 2 49 2
2 5188 2 27 5
2 4906 1 43 2
2 5299 1 33 1
3 5525 2 56 3
3 5526 1 49 3
2 5300 1 48 3
2 5712 2 25 1
2 5712 2 50 2
2 5714 2 44 2
2 4923 1 37 1
2 4881 2 55 3
3 5407 2 58 2
3 5135 2 51 10
2 5292 1 46 6
2 5431 2 37 2
2 5431 2 39 6
3 5329 2 49 5
3 5330 2 40 1
3 5335 2 46 5
2 4963 1 39 3
3 5339 1 47 4
2 5390 2 53 3
3 5517 1 56 2
3 5517 2 52 8
2 5297 2 58 10
2 5465 1 56 2
2 6314 1 43 2
3 6364 1 37 1
3 6770 2 43 4
3 6170 1 57 2
3 6165 1 28 20
3 6309 2 45 6
3 6309 1 48 4
3 6354 2 48 5
3 6354 1 54 2
2 6320 2 46 1
2 6320 1 38 2
2 6320 1 45 2
2 6221 1 43 9
2 6327 1 63 1
3 6277 2 36 4
2 7062 1 54 1
3 6475 2 43 1
2 6438 2 38 5
2 6439 1 36 9
2 6439 1 47 8
2 6439 1 52 1
2 5628 2 49 5
3 5599 1 56 11
2 5547 2 53 2
