"","Year","1","2","3","4","5","6","7","8","9","10"
"1","1991",0.577140378225982,0.0900537932788008,0.0755881716457449,0.0504642922410413,0.0183804307618705,0.0179616791139843,0.0162745655404101,0.0290743661043744,0.0158154075253382,0.0424689215185621
"2","1992",0.67141908610518,0.0841886202948854,0.0330498561362201,0.0384591011002701,0.0463417012579246,0.0495861453633061,0.0244941648102708,0.0195975128792782,0.0282570984439136,0.0234540990853068
"3","1993",0.638289106749152,0.227689222562502,0.0146142352164629,0.0055197669941054,0.0242295094652378,0.0461639484125664,0.0535723925758286,0.0363713235424009,0.0202485960158235,0.0302366923972669
"4","1994",0.421941152137452,0.0983094146630808,0.0761650148348719,0.0184008212996774,0.00884433047637568,0.0227693273638891,0.0624191149904255,0.10670540354956,0.0512006254925019,0.0445656741007393
"5","1995",NA,0.572695500253135,0.0466406568367021,0.0352169836930653,0.0175315280382837,0.00966114028042852,0.0218666377349665,0.0345715448516505,0.0668070148681984,0.0661197581588775
"6","1996",NA,0.262667482700034,0.0790502931716393,0.0760729098992789,0.0326591168118575,0.0175296184327679,0.0103931187220327,0.018409312510093,0.0338396341588867,0.0493027240335008
"7","1997",0.620827655815011,0.0320104392014701,0.0816794622033595,0.0238613211436631,0.0143705794896824,0.0165970372216616,0.0151453839870258,0.0179723443987324,0.0314239058557056,0.0548644647243178
"8","1998",1.22026687257133,0.0860774363335943,0.0627341606971372,0.0572613408712161,0.0327624416050535,0.011928722207009,0.0264477212182311,0.0277493765988321,0.0201704321974321,0.0473409637662174
"9","1999",1.07779230860491,0.061825184055328,0.0110425847383024,0.0133475937812205,0.020156972188789,0.0182738945835325,0.00805343260279063,0.0230089984289181,0.0316080549378586,0.0362907546458282
"10","2000",NA,0.0555840377354629,0.0373447050093832,0.0102296312470426,0.0102272661796041,0.0209779626418637,0.0154808589707693,0.010456734238777,0.0270303570353212,0.0557057099995328
"11","2001",NA,0.398799490478439,0.0433973908563904,0.028808489868922,0.0119917935987686,0.0149677490428306,0.0282555396929383,0.0243321998960084,0.0179294000799738,0.0441405233343923
"12","2002",0.766165844217897,0.0399596323540431,0.0354265607553096,0.0166920599573523,0.0172578847880402,0.0095315917846154,0.01440263685976,0.0246189700186705,0.0287559751479746,0.024943872047304
"13","2003",NA,0.123583819823226,0.00997748368610596,0.0187275001847312,0.0135110651523294,0.0141847826191411,0.0125465091649564,0.020339342692305,0.0336544224581103,0.047138584753977
"14","2004",NA,0.701622459871856,0.0409215537079518,0.00901166329184169,0.0126916800127513,0.0198794169676645,0.0173989844681752,0.0182172118007786,0.029494343801413,0.0660906352140027
"15","2005",NA,0.164138260061201,0.0484973249088666,0.0110602382529281,0.00773264304668333,0.0108395583267162,0.02038688255407,0.0302530736475405,0.026681531569751,0.048645449588404
"16","2006",NA,0.0917272033563274,0.0440029594089992,0.0156497987185409,0.00939596717160782,0.00974018914610739,0.0147235797646339,0.0255603800527507,0.0324682247002451,0.032076719725459
"17","2007",0.514957072920818,0.0706213900684088,0.0273007346020432,0.0197767530253279,0.00977356971919944,0.00850425820273804,0.012761293027271,0.0189741451563202,0.0333870883213712,0.0439337883952497
"18","2008",NA,0.0592621886848652,0.0318544682585682,0.0218988392047167,0.0154839500070336,0.00921579274154626,0.0128637411745577,0.0175789230374388,0.0234397516448158,0.0540191223337571
"19","2009",NA,0.344052575457047,0.0164926882556482,0.0170532025162894,0.036669683800925,0.0196305345767192,0.0183882531938455,0.0231702507427129,0.0270784250560066,0.0368224367135824
"20","2010",0.819684185595437,0.09058674943659,0.0676796938534559,0.00660375950372831,0.0141897627282865,0.0349947110584486,0.0268467651830573,0.0287508060205697,0.0253753559029426,0.0301526903749628
"21","2011",1.11571394336683,0.138449336435771,0.018003096276338,0.0249702218831617,0.00660218970836393,0.0130787794518359,0.0309757173859893,0.0334661672189992,0.0370412474556554,0.0343790127763662
"22","2012",NA,0.0746090342792706,0.0298027210022865,0.00599157282024978,0.0240806893385771,0.00978891400900495,0.0219952579367641,0.0453373287359185,0.0625779196882526,0.0713796192311131
"23","2013",0.629129415367481,0.524291760010531,0.029803230722612,0.011724773578306,0.00689157908204044,0.0243056523774022,0.0217916373629035,0.0292463042388873,0.0520855756412671,0.0553420620378443
"24","2014",NA,0.0442093414536903,0.0549707746041784,0.017109280304156,0.0107582889682749,0.00668776018036316,0.016911806517009,0.0236185817361798,0.0425414245114471,0.096890441413593
"25","2015",NA,0.121199586019271,0.00693241219887609,0.0177263493905028,0.0144711904011792,0.00945487069076113,0.00773086460877355,0.0238369014188615,0.0393839265196768,0.0649420908653019
"26","2016",NA,1.08514765000223,0.0315931952397959,0.00341458246845536,0.0175212662165256,0.0156171434340986,0.0180031872614438,0.0135846770694409,0.049235380824992,0.0750273105757686
