"yr" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"1" 1991 0.0554521652046642 0.00522861157955374 0.0178543350116029 0.0136735716846053 0.0112013498222737 0.0127577167791679 0.0093042019132983 0.0259243534557265 0.013879252276655 0.0537791856158482 0.0226484501846441 0.0601152670513598 0.0357723255271209 0.0627636186799354 0.0374067416090332
"2" 1992 0.0617397783404896 0.00615955293066505 0.00368263915057201 0.0111563559414969 0.0296893964141428 0.022347639491346 0.0216313695929001 0.0191385852296513 0.0262093071946469 0.0282621841505886 0.0378064921989473 0.0404874745896548 0.114413288820229 0.0573060222962095 0.0671000834857631
"3" 1993 0.0497049506216211 0.0577560391952704 0.00681366909851712 0.0028645151525267 0.0153962856248993 0.0238829244356833 0.0259562899302755 0.0350785549538329 0.0262403759020978 0.0380457297319767 0.046378996918586 0.0732335483188183 0.0914079686565876 0.12181000996773 0.0856257849537658
"4" 1994 0.0192483650649583 0.0183602369365237 0.0235588683628732 0.00911861402303826 0.00586942197406134 0.0209740116199961 0.0438392156888631 0.103336967939689 0.0550491797369985 0.0645530250709457 0.0513086338425469 0.0542482592103378 0.0634110899705161 0.0830655859547761 0.0711488508858405
"5" 1995 0 0.0842866588227609 0.0135514258242178 0.0129065101794748 0.0109012240093554 0.00582139687276168 0.0170569922451423 0.0348637835305032 0.0669388254776982 0.0682190588018279 0.0638417631105891 0.10874393315017 0.0543185793976167 0.355137311563643 0.0748662136040601
"6" 1996 0 0.0309218592088207 0.0161768371309574 0.0238713791085259 0.0189062084995354 0.0103566108843074 0.00865718369711337 0.0148141542688436 0.0327207678123948 0.0536958202518888 0.138693594379747 0.0854657896970431 0.0985422038531666 0.0700582562564123 0.0815759329871691
"7" 1997 0.0222931595094284 0.00591349910825177 0.0259624729576982 0.0126712157616938 0.00631645269396931 0.0118049630045207 0.0124812808179095 0.0145139582101442 0.0332422710738218 0.0840908605211717 0.102799763847956 0.126586830636227 0.23373565594308 0.122448399283337 0.0840126447775834
"8" 1998 0.0244373763263248 0.00970621174600234 0.0160004207058986 0.0235706998877165 0.0167170502876529 0.00533600659906328 0.0159426734832638 0.0234432371313835 0.0215442469384121 0.0480751358161415 0.085915907494346 0.121227508816812 0.16753152642248 0.174414035807361 0.169942442864252
"9" 1999 0.0471371499734761 0.0125399643150471 0.00388987964852212 0.00648595945880806 0.0133211394919013 0.0121811724742499 0.0058412978164218 0.0193445152837308 0.0322589313044425 0.0464843874160366 0.146403216742027 0.236768026548049 0.460727958655172 0.562936078744915 0.282142049788871
"10" 2000 0 0.0108860387418616 0.0138250684268733 0.00541795030866863 0.00610810872244554 0.015770963798187 0.0120976519485119 0.00819347380189142 0.028148154439304 0.058058298408396 0.056268838733926 0.12141506030671 0.544087988634741 0.774253705228565 0.594032173897473
"11" 2001 0 0.110652685657729 0.0147266110868687 0.0144488308426766 0.00748653745602754 0.0115157734233005 0.025547566684508 0.0225033130933704 0.0204741871515984 0.046787294575112 0.0675035466932076 0.0890009847090569 0.12342526138426 0.155431767353087 0.418761589445409
"12" 2002 0.0541611447746631 0.00976780492559045 0.0127668655076352 0.00803501145107002 0.0112626491898689 0.00699170238149952 0.0124297684793993 0.0243784886797902 0.0304350623603731 0.0295266061302034 0.057580041810604 0.0670576767902519 0.0998561060654039 0.31734753140956 0.338881882966753
"13" 2003 0 0.0363290155686297 0.00475566235320235 0.00950306646916285 0.00874757308647249 0.011344617805048 0.0105740855671959 0.0189407398372228 0.038404100883415 0.0550318691070092 0.0541081363149184 0.0688877343207327 0.140151933626709 0.290818008921618 0.229322647044242
"14" 2004 0 0.0604456073587956 0.0131603732806608 0.00465629558248823 0.00752648979116909 0.0136316510815884 0.0165672525531428 0.017647148349605 0.0300072600744123 0.0739155247744952 0.0609866004519297 0.0514098478474036 0.118523137790084 0.150752031696614 0.145618747234273
"15" 2005 0 0.0630480489832133 0.0143806897370985 0.00581398487868712 0.00424889022562338 0.00721240816688811 0.0170902419094705 0.0266112597451279 0.0260669790840361 0.046334409421536 0.0822698410416077 0.0677130165891505 0.178983532867604 0.38044694280149 0.312213488092437
"16" 2006 0 0.0136215833398311 0.0121921989368542 0.00625299764646164 0.00517888024477163 0.00754793442622135 0.011890476235443 0.0227786475931152 0.0398784485655675 0.0333091850021027 0.0899742177843726 0.118578291430308 0.111909358183513 0.118380456425453 0.105710045353963
"17" 2007 0.0200681225556379 0.0111845700610363 0.00872172619364246 0.00935163587779568 0.0057024100860931 0.00658376527315058 0.0111475407756739 0.0234872021425312 0.0370357852762582 0.0520960736494035 0.0722200091555869 0.128470283446153 0.133240822137026 0.142442655459298 0.0931026820366861
"18" 2008 0 0.00833076955613366 0.00960737269484393 0.0101750743031019 0.00979886881512227 0.00704377633865349 0.0117776464159369 0.016849194295429 0.0246580177452791 0.0622028257354984 0.0841859541439523 0.0876218330616897 0.103174162753462 0.218845365940498 0.0993211796308822
"19" 2009 0 0.0418281346833542 0.00635924741702486 0.00804610108922817 0.0277018507560943 0.0146453517838295 0.0188840856933466 0.0255145372022366 0.0359625022357041 0.0533942879248355 0.120760002222478 0.0979122523606842 0.0899352931460452 0.290452481770463 0.0916261988225233
"20" 2010 0.0368613130374638 0.0111261375833034 0.0245317902372239 0.00310219503930548 0.00848667755435051 0.0307441963155353 0.0287759950926589 0.0303081215490673 0.0454463471616705 0.0461047707217327 0.0774713697478557 0.0877490258270548 0.129099379896655 0.146391747075864 0.108758055914785
"21" 2011 0.0310894648642147 0.029311503696125 0.00518364765921281 0.0124106733125814 0.00420015187786511 0.01003849322884 0.0318114407386924 0.0411845371432472 0.0506743463399855 0.0533184556488098 0.0641242141309776 0.088811287332152 0.327428000342414 0.169755085900435 0.215300628631865
"22" 2012 0 0.0106296631706438 0.00783712073868978 0.00244377359296361 0.0152250474179937 0.00815780954819236 0.0215729563991947 0.0514379748572934 0.0836830190343319 0.108423871205312 0.0889145886304234 0.101612791148113 0.128831710674789 0.228078512277735 0.453018032192546
"23" 2013 0.0655464612763387 0.0666630312096661 0.00825405378971974 0.00508190027768651 0.00382919447638001 0.0180691427297454 0.0232549983966929 0.0364340654739769 0.0741948737812651 0.0887223906277141 0.0996097006043274 0.106136284066918 0.1292071659378 0.207681434218059 0.153412247954956
"24" 2014 0 0.00942403575816899 0.0173609695937045 0.00734672289333686 0.00636266855966063 0.00485012161334263 0.0154327755657087 0.0287913408385443 0.0538214002697974 0.133620615503177 0.156979256981302 0.19803200369261 0.153767006128346 0.225689284199483 0.156458128803925
"25" 2015 0 0.0208912693192622 0.00261254993713493 0.00804418380370745 0.00755433370229071 0.00668148911644792 0.00640372463722745 0.0219493370595623 0.0429006530249627 0.0742560490600176 0.188626206910909 0.25645400667643 0.221640497452578 0.26696458036893 0.432942255129174
