26 1993 A 43 60.9919
93 1993 B 60 611.475
26 1993 A 44 50.4168
93 1993 B 61 984.702
26 1993 A 45 81.4889
93 1993 B 62 1437.2
26 1993 A 46 249.033
93 1993 B 63 1408.07
26 1993 A 47 123.505
93 1993 B 64 1453.03
26 1993 A 48 273.159
93 1993 B 65 1543.89
26 1993 A 49 360.441
93 1993 B 66 1727.17
93 1993 B 67 1163.65
93 1993 B 68 928.085
93 1993 B 69 615.401
95 1993 A 80 227.766
95 1993 A 81 261.006
95 1993 A 82 158.092
95 1993 A 83 180.354
95 1993 A 84 214.651
95 1993 A 85 153.726
71 1993 A 90 86.8142
46 1993 A 100 19.6208
95 1993 A 86 242.397
71 1993 A 91 258.184
95 1993 A 87 77.0254
71 1993 A 92 44.7076
95 1993 A 88 45.2102
71 1993 A 93 140.257
95 1993 A 89 8.82184
71 1993 A 94 1.52608
71 1993 A 95 4.57825
71 1993 A 96 0
12 1993 B 40 0
71 1993 A 97 0
12 1993 B 41 0
71 1993 A 98 0
12 1993 B 42 26.5647
71 1993 A 99 0
38 1993 A 40 59.7139
12 1993 B 43 0
38 1993 A 41 8.40878
12 1993 B 44 0
38 1993 A 42 36.0513
12 1993 B 45 56.5434
38 1993 A 43 125.182
12 1993 B 46 19.9235
38 1993 A 44 104.006
12 1993 B 47 35.2543
38 1993 A 45 222.273
12 1993 B 48 108.972
14 1993 A 50 561.084
38 1993 A 46 191.077
12 1993 B 49 13.2823
14 1993 A 51 266.071
38 1993 A 47 212.609
14 1993 A 52 503.25
38 1993 A 48 233.05
14 1993 A 53 510.462
38 1993 A 49 342.647
14 1993 A 54 253.519
14 1993 A 55 308.533
14 1993 A 56 293.625
14 1993 A 57 409.242
14 1993 A 58 282.76
14 1993 A 59 291.959
81 1993 B 80 264.29
81 1993 B 81 64.6269
81 1993 B 82 53.7396
6 1993 B 30 336.255
81 1993 B 83 61.9043
6 1993 B 31 14.2325
97 1993 B 100 0
81 1993 B 84 260.221
6 1993 B 32 0
81 1993 B 85 289.807
6 1993 B 33 35.5811
81 1993 B 86 233.681
6 1993 B 34 0
81 1993 B 87 195.924
24 1993 B 30 380.299
6 1993 B 35 14.2325
83 1993 A 90 24.3475
81 1993 B 88 8.50451
24 1993 B 31 213.741
6 1993 B 36 7.11623
83 1993 A 91 47.9751
81 1993 B 89 53.0598
24 1993 B 32 7.46092
6 1993 B 37 75.7408
83 1993 A 92 9.4976
24 1993 B 33 0
8 1993 A 40 68.8349
6 1993 B 38 0
83 1993 A 93 9.4976
24 1993 B 34 0
8 1993 A 41 61.9346
6 1993 B 39 0
83 1993 A 94 12.6635
24 1993 B 35 0
8 1993 A 42 10.8921
83 1993 A 95 54.651
24 1993 B 36 0
8 1993 A 43 356.583
83 1993 A 96 1.58293
24 1993 B 37 0
