95 2003 1 931.852 4579.02 8899.47 1695.81 128.637
95 2003 2 465.487 699.007 1365.14 295.912 31.1127
95 2003 3 1184.02 4062.96 7189.74 1654.87 79.8869
95 2003 4 34.1204 323.636 306.204 91.8108 8.61848
95 2003 5 122.42 462.647 252.312 24.8157 1.70478
95 2003 6 156.111 1530.91 1192.31 79.2081 3.67014
85 2003 1 866.562 4263.08 9622.9 1431.81 214.172
95 2003 7 2205.69 3710.19 467.972 47.5056 0.394398
85 2003 2 443.279 676.792 1520.07 216.699 15.9939
95 2003 8 196.623 616.63 222.307 38.3507 2.29032
85 2003 3 2358.63 3777.68 6860.45 1225.57 95.3945
95 2003 9 124.495 666.983 249.261 34.8089 5.92274
85 2003 4 54.6733 318.985 336.157 49.6153 4.9598
85 2003 5 129.071 459.621 222.536 47.9537 4.7193
85 2003 6 105.562 1375.13 1378.27 90.0162 13.232
75 2003 1 793.908 4663.85 9037.49 1623.54 158.785
85 2003 7 2274.63 3641.08 458.991 47.655 7.73326
75 2003 2 439.378 765.903 1366.81 217.342 33.1931
85 2003 8 152.816 532.091 325.927 59.4089 5.95731
75 2003 3 1721.68 4411.63 6490.59 1395.84 126.613
85 2003 9 100.917 645.618 281.803 45.2347 7.89704
75 2003 4 71.7749 387.337 237.594 63.1 4.58486
75 2003 5 59.8581 394.921 315.109 85.7501 8.26165
75 2003 6 158.516 1604.44 1090.79 95.983 12.4856
65 2003 1 1017.3 5003.87 8688.2 1564 94.3324
75 2003 7 2227.3 3566.67 598.932 32.8277 5.71831
65 2003 2 459.846 638.329 1461.28 290.116 15.4506
75 2003 8 140.497 669.852 228.502 35.0676 2.28089
65 2003 3 1480.17 4623.79 6487.54 1558.39 85.3244
75 2003 9 127.378 668.294 227.361 45.4554 12.9817
65 2003 4 43.9826 308.331 320.387 84.0486 7.64104
65 2003 5 142.98 456.001 214.941 47.7828 2.19521
65 2003 6 94.0815 1733.03 1017.58 100.098 17.4248
65 2003 7 2079.09 3809.81 480.554 52.8775 11.7405
65 2003 8 179.227 552.416 253.143 82.2611 9.15302
65 2003 9 97.2854 680.502 259.112 40.2924 4.27783
9 2003 1 832.993 4094.24 9419.35 1954.13 96.6828
9 2003 2 421.985 585.704 1561.54 285.561 14.8647
9 2003 3 1718.91 4241.72 6850.86 1504.27 39.4047
9 2003 4 65.8011 318.578 297.438 79.7677 2.80501
9 2003 5 90.4844 458.908 255.073 56.2806 3.15397
9 2003 6 95.3045 1548.23 1219.15 93.3224 6.20141
9 2003 7 2283.17 3617.84 473.008 55.7904 6.02391
9 2003 8 175.86 647.769 210.712 39.3546 2.50412
9 2003 9 130.906 707.692 218.94 22.2247 1.70722
98 2003 1 1180.14 4704.29 8571.48 1795.25 138.325
98 2003 2 327.009 577.519 1525.83 398.817 35.5536
98 2003 3 1454.86 4619.07 6915.08 1276.65 62.7324
98 2003 4 69.5878 336.113 285.947 64.7579 7.98388
98 2003 5 97.568 470.541 252.519 36.5951 6.67685
98 2003 6 99.5786 1703.43 1036.43 118.136 4.64222
88 2003 1 1167.82 3551.61 9547.52 1799.41 114.463
98 2003 7 1836.88 4044.98 461.694 85.4043 8.18458
88 2003 2 407.24 588.697 1623.84 207.028 31.194
98 2003 8 181.466 623.59 226.663 43.6223 0.859137
