1 513 0 3 26 88 5636 16515 9 1 140 0.21 27 128 0
1 513 0 3 26 88 5636 16515 19 2 140 0.62 38 130 0
1 513 0 3 26 88 5636 16515 18 2 140 0.28 30 134 0
1 513 0 3 26 88 5636 16515 15 2 140 0.31 30 135 0
1 513 0 3 26 88 5636 16515 9 2 140 0.2 26 136 0
1 513 0 3 26 88 5636 16515 8 2 140 0.11 23 138 0
1 513 0 3 26 88 5636 16515 9 2 140 0.24 29 139 0
1 513 0 3 26 88 5636 16515 17 2 140 0.4 31 140 0
1 513 0 3 26 88 5636 16515 9 2 140 0.24 27 132 0
1 513 0 3 26 88 5636 16515 9 2 140 0.15 25 133 0
1 513 0 3 26 88 5636 16515 18 2 140 0.57 36 131 0
1 513 0 3 26 88 5636 16515 9 2 140 0.23 27 129 0
1 513 0 3 26 88 5636 16515 8 1 140 0.24 27 127 0
1 513 0 3 26 88 5636 16515 8 1 140 0.14 23 125 0
1 513 0 3 26 88 5636 16515 24 1 140 0.56 37 123 0
1 513 0 3 26 88 5636 16515 9 1 140 0.2 26 121 0
1 509 71 3 5 88 5640 16409 17 1 140 0.57 35 135 0
1 509 71 3 5 88 5640 16409 21 1 140 0.57 36 134 0
1 509 71 3 5 88 5640 16409 9 2 140 0.18 25 139 0
1 509 71 3 5 88 5640 16409 9 2 140 0.17 24 141 0
1 509 71 3 5 88 5640 16409 21 2 140 0.62 38 142 0
1 509 71 3 5 88 5640 16409 9 2 140 0.17 25 136 0
1 509 71 3 5 88 5640 16409 22 2 140 0.65 38 140 0
1 509 71 3 5 88 5640 16409 24 2 140 0.62 38 137 0
1 509 71 3 5 88 5640 16409 18 2 140 0.62 37 138 0
1 509 71 3 5 88 5640 16409 8 1 140 0.2 23 133 0
1 514 0 5 5 88 5802 15933 8 1 140 0.11 22 139 0
1 514 0 5 5 88 5802 15933 7 1 140 0.11 22 140 0
1 514 0 5 5 88 5802 15933 7 1 140 0.08 20 145 0
1 514 0 5 5 88 5802 15933 8 1 140 0.1 23 146 0
1 514 0 5 5 88 5802 15933 7 1 140 0.12 22 144 0
1 514 0 5 5 88 5802 15933 7 1 140 0.08 20 143 0
1 514 0 5 5 88 5802 15933 7 2 140 0.05 18 155 0
1 514 0 5 5 88 5802 15933 22 2 140 0.51 38 156 0
1 514 0 5 5 88 5802 15933 7 2 140 0.1 22 157 0
1 514 0 5 5 88 5802 15933 8 1 140 0.1 21 142 0
1 514 0 5 5 88 5802 15933 7 1 140 0.05 18 147 0
1 514 0 5 5 88 5802 15933 10 2 140 0.19 26 148 0
1 514 0 5 5 88 5802 15933 7 2 140 0.07 20 149 0
